serialno|hinc|rooms
85182|140390|7
85371|13500|5
85465|16500|5
85487|23000|2
86028|160920|9
86092|67000|6
86331|30000|6
86411|165000|9
86728|15200|4
86825|47000|8
86995|66570|6
87128|21500|3
87413|46400|6
87562|65000|5
88152|77000|8
88170|35900|8
88363|15000|3
88431|87660|5
88752|5700|2
88804|45600|5
88845|83000|7
88863|107400|6
88999|74400|7
89152|47400|8
89469|87700|9
89509|130000|6
89563|6700|5
89577|48220|3
89780|64400|6
89897|10500|8
90101|33600|9
90304|94190|8
90523|31800|5
90607|16200|4
90742|136030|6
90806|20000|4
91037|50000|6
91121|55200|7
91246|47000|7
91615|85800|5
91794|48000|6
92083|61810|4
92720|55000|3
92722|45000|7
92822|82000|6
93051|34800|4
93087|45700|4
93198|57970|2
93426|133000|6
93617|42000|8
93908|18000|4
93973|7300|3
94416|169500|9
94491|60400|7
94681|12000|3
94720|7200|3
94788|362100|6
95250|58900|5
95280|110200|6
95350|30000|9
95519|86000|6
95663|45000|4
95804|56000|6
95816|61484|5
95846|14300|2
95944|61000|8
95946|130200|6
95974|15300|4
96061|168000|9
96420|38000|5
96687|56000|2
97219|57000|5
97326|145300|6
97557|15600|5
97635|78900|3
97655|9640|4
97792|32000|4
98105|17400|3
98141|30000|4
98394|76920|8
98458|263350|8
98542|106200|5
98639|26190|8
99149|27000|5
99159|79000|5
99223|74000|4
99287|85230|4
99868|79200|9
99874|18300|6
99912|20200|6
99986|60000|5
100107|9540|1
100259|63000|8
100301|63184|6
100303|38650|7
100446|4200|4
100468|53300|5
100562|34300|2
101030|30300|6
101082|59000|4
101538|88240|7
101566|69000|6
101671|140480|7
101765|51000|9
101827|46000|6
102335|101000|7
102454|21000|5
102582|54600|6
102891|21200|7
103074|151900|9
103261|51860|6
103303|63700|3
103403|114010|6
103829|90000|6
104407|31800|6
104554|45230|5
104713|60904|7
104966|41000|8
105496|46800|8
105803|48130|3
105879|31200|5
106084|6000|4
106694|61000|3
107054|120100|6
107110|95000|9
107164|7610|1
107192|116000|7
107218|15000|5
107409|140000|7
108106|61800|7
108535|41200|6
108562|100000|4
108905|46800|3
108963|81500|9
109007|41700|5
110308|10400|2
110407|62300|7
110598|107600|4
110993|75000|3
111063|89700|6
111278|65600|5
111732|60400|5
111885|101400|3
112035|134400|6
112248|28000|8
112389|68450|5
112425|25000|5
112640|32310|4
112732|27000|4
112816|105000|4
113007|91600|5
113483|81000|8
113525|71230|7
113639|112930|6
113712|19860|5
114182|58100|5
114266|54700|5
114366|35000|6
114461|36100|5
114479|14700|4
114585|28100|4
114782|98000|4
114796|89900|9
114830|33800|9
114890|168800|9
115151|103000|7
115320|229000|9
115326|60040|4
115589|590|3
115846|16000|6
115886|55900|8
116007|88000|5
116025|54100|7
116043|118300|8
116354|64000|7
116491|28000|1
116507|57600|7
116519|12900|4
116970|30290|7
117123|128000|5
117621|167000|8
117665|3200|6
117745|135000|4
117794|23800|7
117800|28300|4
117846|61000|3
118087|74000|3
118342|85000|5
118531|42800|7
118701|23500|8
118783|12560|6
118798|57500|7
119195|72000|6
119233|89000|8
119366|125000|8
119382|38190|6
119516|49200|5
119805|57100|5
119854|8700|7
120044|30710|7
120386|35900|3
120484|86900|9
120502|82600|9
120655|32760|5
120683|13900|2
120719|69100|7
121006|21170|7
121026|91500|8
121058|73800|6
121089|117420|6
121438|64700|7
121470|37800|3
121538|47800|8
121803|234000|7
122113|24000|2
122137|36800|5
122269|35840|2
122301|18200|4
122450|77000|5
122488|115000|6
122514|6100|6
122538|92000|4
122703|99000|4
122731|52100|6
122867|95200|9
123305|31250|5
123468|141000|5
123592|55900|5
123703|42200|6
123795|88200|6
124377|15900|8
124506|70000|6
124594|62000|7
124709|135710|9
125002|28800|5
125086|36700|8
125598|166800|7
125799|142250|9
125831|23500|2
126000|27000|4
126066|118100|7
126375|72600|7
126638|63000|4
126656|51400|5
126692|42220|6
126751|22900|7
126857|43450|7
127070|18500|4
127180|26400|5
127214|60600|5
127578|24300|5
127791|63500|5
127851|43400|6
127879|46560|9
128134|3900|3
128734|36000|5
128736|11700|4
129086|21100|2
129349|14730|3
129531|43670|7
129566|70000|2
129654|41630|6
129688|53000|8
129883|155500|9
130035|92000|7
130096|25000|4
130116|55900|6
130232|116900|6
130449|13700|6
130505|281000|9
130756|36300|7
130931|90110|8
131041|43500|7
131456|11000|3
131480|75730|5
131757|32200|4
131856|248100|5
131874|24000|4
131898|56000|5
131924|49000|8
131984|22900|8
132639|76844|6
133177|35700|4
133293|84970|5
133398|65000|6
133877|91300|5
134100|58800|6
134454|49100|4
134508|107000|5
134516|168550|8
134638|21300|5
134661|49500|4
134713|18600|5
134775|101200|8
134837|20700|5
135138|100000|6
67994|187700|6
68022|41010|8
68771|70900|2
69325|15030|4
69460|48400|4
69737|24500|4
69986|8300|2
70048|10800|4
70201|63600|7
70253|39800|5
70279|25500|4
70325|65800|2
70452|125800|9
70478|7150|5
70683|7800|3
70835|126460|7
70837|21500|5
71112|33370|4
71279|47500|5
71530|61000|6
71538|36000|1
71713|10420|2
71731|77000|4
71751|86400|5
71861|73400|6
71974|334000|9
72160|110200|5
72186|87000|4
72219|67900|9
72245|31200|8
72301|50110|5
72476|28000|2
72584|121100|7
72628|34000|3
72656|136400|4
72721|36500|4
72867|25100|5
72913|17500|4
73100|102010|7
73120|17600|3
73227|119900|6
73323|57000|5
73429|149200|6
73492|80000|7
73741|20000|6
74355|49000|2
74417|29300|8
74506|70000|5
74658|25100|5
75064|192010|7
75214|30000|4
75387|67040|7
75415|19500|5
75451|21400|4
75588|29000|4
75600|12000|3
75698|19400|7
75760|41200|8
75837|387500|6
76419|24400|6
76676|76500|7
76730|415000|9
77134|337000|9
77148|52000|6
77503|411500|9
77531|60900|5
77652|70830|4
77831|59530|5
78254|45000|8
78355|90500|9
78379|135700|8
78433|70000|8
78493|105000|6
79019|63000|4
79134|105500|2
79154|60000|5
79451|20000|8
79593|83100|6
79615|13320|3
79720|13000|3
79790|11700|6
80447|77400|4
80541|25000|7
80965|101400|5
80983|115500|6
81133|39000|5
81198|71500|5
81200|85300|9
81226|182250|6
81370|56000|3
81979|122000|8
82051|61800|5
82083|15300|6
82089|35700|4
82260|41800|5
82376|13500|6
82671|112100|9
82778|62800|6
83081|107700|6
83099|110000|8
83262|50500|7
83330|63300|3
83344|106000|7
83370|46100|9
83414|114380|3
83444|37300|4
83446|21500|4
83667|61460|5
83681|45000|6
84131|78100|4
84523|75000|4
84605|24700|6
85005|147370|5
85217|56200|5
85314|23000|9
85416|132500|6
85557|99700|7
85559|322000|7
85862|54200|5
85978|18100|6
86179|30600|3
86255|69000|5
86559|11900|3
86705|78000|4
87131|1100|5
87133|78000|5
88028|2000|5
88526|30000|3
88558|47000|5
88803|75000|7
88850|325500|5
88866|9600|5
88962|32650|6
89195|100000|9
89319|103004|3
89737|9600|6
89944|43000|6
90392|300|3
90436|11000|5
90606|72400|5
90661|70000|6
90815|20000|4
91004|53000|8
91052|27400|6
91175|98000|4
91500|63600|6
91644|90200|6
91673|131370|6
91709|90300|6
91715|28700|5
92010|20700|6
92504|134690|6
92727|253200|9
92849|86500|5
92917|9300|7
93146|10200|5
93166|17300|4
93277|75000|8
93415|52500|2
93582|122300|8
93644|56000|4
93966|6200|2
94004|77270|2
94046|55000|4
94122|45300|4
94124|30000|4
94154|59200|7
94267|125100|4
94327|110320|5
94357|42300|4
94395|7800|2
94572|30100|7
94580|171000|9
94891|88880|7
94945|104400|4
94967|119100|8
95431|93900|6
95481|31200|3
95530|18070|6
95586|39200|4
95755|101820|9
95995|81100|5
96315|72000|6
96514|53600|5
96614|35000|1
96785|29500|4
96823|79000|6
96899|108140|5
96929|66000|6
97046|77800|8
97058|5000|5
97204|67800|5
97337|41700|5
97560|156000|9
97861|11800|4
98052|70100|5
98166|51110|4
98222|91600|6
98254|34900|4
98305|63500|6
98309|21100|3
98800|38300|3
99553|56040|4
99869|54200|9
100089|103200|8
100298|57700|6
100455|62000|7
100579|42790|8
100718|40000|7
100858|130300|8
100999|50000|5
101091|67000|7
101218|54000|4
101407|220000|9
101441|65000|6
101445|37400|5
101652|99100|7
101981|9270|9
102007|36600|3
102061|45030|6
102087|6500|4
102141|22000|4
102146|9100|6
102208|77000|6
102372|22500|6
102495|65654|6
102676|16500|1
102768|95900|9
102772|113900|8
102788|60400|5
102806|10000|2
103057|81000|3
103093|52000|4
103178|165100|6
103338|112800|8
103549|16800|4
103631|79100|8
103864|60400|7
103957|137040|4
103967|99200|5
103985|98250|7
104127|70000|5
104214|32500|5
104236|74000|6
104248|28000|3
104380|35100|6
104434|53010|9
104712|47000|5
104730|126000|8
105025|60000|7
105063|32150|2
105278|126000|7
105422|102600|4
105489|65000|6
105742|144000|6
105752|31000|6
105820|28000|6
105826|10500|5
105882|190000|7
106217|36000|5
106410|17900|4
106416|179400|9
106507|97400|8
106884|48100|3
106948|62900|4
107017|83000|8
107141|53900|5
107270|38600|7
107607|62250|5
107713|7900|3
107741|16310|5
107992|97000|8
108135|37800|3
108265|8670|3
108320|25500|6
108352|183000|7
108366|56500|6
108428|16500|4
108990|62500|4
109073|60850|7
109203|62000|7
109711|294900|8
109773|102690|8
109968|7000|5
110169|32800|5
110239|115620|2
110327|31820|9
110335|108200|4
110536|59000|4
110685|12900|5
110811|83000|6
110968|50000|7
111347|97500|8
111390|760|5
111474|7000|5
111876|53500|4
112169|44520|7
112426|60000|5
112647|205000|7
112910|30000|8
112938|41800|6
113020|98000|4
113024|53900|7
113054|24600|5
113068|29580|8
113112|9600|4
113132|77100|8
113165|104800|7
113249|102000|7
113570|34320|1
113863|19200|5
113920|8400|2
113928|33800|7
114024|70000|7
114313|62000|5
114411|3800|3
114590|9560|2
114691|61700|6
114769|27000|3
114917|91000|8
115030|114600|9
115203|34900|6
115411|39000|5
115700|121200|9
115777|275860|8
115851|70600|6
115867|640|3
115951|66704|9
116046|33600|1
116277|6800|8
116514|26640|5
116650|93160|8
116690|112200|7
116925|84200|8
117220|111000|7
117365|30000|6
117572|10000|3
117803|11820|4
118108|83000|9
118315|8000|5
118513|34950|5
118568|74200|8
118604|49400|8
118662|89600|6
118666|64210|7
118674|87390|9
118758|8600|2
118780|90000|9
118795|69000|7
118885|126040|7
119019|78000|6
119128|64990|6
119136|164100|7
119250|55700|3
119475|86060|5
119704|94980|9
119754|204000|7
119873|37600|7
119987|73004|6
120096|48600|6
120732|38000|1
121085|136500|9
121630|17340|4
121636|72080|7
121712|136800|9
121794|33400|8
122122|292050|9
122144|82500|8
122278|11700|3
122489|34560|4
122650|34700|5
122724|47170|5
122770|37900|6
123049|68600|7
123234|70000|9
123521|38200|2
123629|111000|6
123937|95000|4
124069|13300|1
124204|27500|5
124589|15000|5
124794|45050|4
124802|45000|6
124816|107600|9
125035|51180|6
125091|61600|8
125155|10700|9
125260|100000|6
125398|322000|3
125529|39300|9
125533|73400|9
125698|27100|7
125977|38600|4
126350|51710|6
126473|25300|5
126629|33800|5
126715|31000|8
126991|102000|7
127137|60000|6
127145|47100|6
127557|101600|6
127661|456000|7
127663|82060|4
127786|47500|5
128025|147000|8
128111|35100|4
135417|60000|5
135468|81100|9
135984|227900|9
136144|53000|3
136650|39000|6
136968|147100|5
137100|204000|9
137130|60000|7
137136|85000|8
137154|106000|7
137172|96600|5
137634|55700|6
137696|48000|7
137815|17140|4
137855|56000|2
138218|129000|2
138313|57400|4
138562|48100|7
138594|87400|6
138686|84650|7
138919|50000|5
139088|40000|9
139363|91630|5
139455|11400|3
140309|76500|7
140453|146000|6
140475|49700|5
140658|50800|7
140756|80300|5
141043|108000|3
141218|23880|5
141290|26100|5
141624|79570|8
141702|61000|6
141855|139000|4
141865|7900|3
141991|2700|3
142023|65000|5
142102|124100|7
142228|170000|9
142300|134700|9
142337|79000|5
142742|38000|2
142782|12000|5
143208|15600|5
143212|103600|4
143272|49500|9
143381|157300|9
143670|24500|5
143672|69760|8
144015|27000|3
144146|95000|8
144481|82800|4
144597|70000|9
144726|66400|6
144907|68800|6
144967|51000|3
144993|84000|8
145577|92000|3
145633|35000|9
145812|76000|8
145858|18000|5
145880|8240|6
145882|15290|9
145921|9400|2
145967|139000|8
146117|84000|9
146455|4300|4
146473|63000|6
146641|106500|9
146826|139000|9
146864|10100|2
146942|138600|2
147091|30400|9
147165|79000|9
147199|49900|4
147581|52400|5
147607|53400|7
147665|39800|8
147782|79800|5
147874|81200|6
147966|45000|4
147969|78900|9
148007|31000|2
148025|44800|6
148181|47710|6
148219|80000|4
148980|97000|8
148997|11200|5
149091|66100|7
149123|14200|4
149153|225000|9
149444|66000|5
149462|6400|3
149561|22800|5
149808|52200|8
149822|55000|6
150077|54000|3
150284|37800|4
150512|80000|5
150518|71000|7
150605|33800|6
150641|49350|5
150784|90000|6
150840|64000|8
150902|12700|5
150968|18600|5
150976|42500|9
151171|48000|5
151235|47800|5
151557|21300|3
151657|359270|9
151721|41000|6
151751|16600|3
151775|21870|5
152175|48000|4
152245|69000|6
152562|105890|7
152568|124000|9
152579|27200|6
152661|39000|5
153153|24200|5
153285|54420|6
153356|58600|4
153588|33000|5
