sl_no,gender,age,address,Medu,Fedu,Mjob,Fjob,famsup,paid,activities,internet,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
13,F,21,U,4,4,health,services,yes,yes,yes,yes,47,Private,55,Central,Science,65,Comm&Mgmt,No,62,Mkt&HR,92,Not Placed,
14,F,22,U,4,3,teacher,other,yes,yes,no,yes,77,State,87,Central,Commerce,59,Comm&Mgmt,No,68,Mkt&Fin,67,Placed,400000
15,M,20,U,2,2,other,other,yes,no,no,yes,62,State,47,Central,Commerce,50,Comm&Mgmt,No,76,Mkt&HR,52,Not Placed,
16,F,18,U,4,4,health,other,yes,no,no,yes,65,Private,75,Central,Commerce,69,Comm&Mgmt,Yes,72,Mkt&Fin,88,Placed,250000
17,M,19,U,4,4,services,services,yes,yes,yes,yes,63,Private,66.2,Central,Commerce,65.6,Comm&Mgmt,Yes,60,Mkt&Fin,54,Placed,250000
18,F,20,U,3,3,other,other,yes,no,yes,no,55,Central,67,State,Commerce,64,Comm&Mgmt,No,60,Mkt&Fin,89,Not Placed,
19,F,21,U,3,2,services,services,yes,no,yes,yes,63,Central,66,Central,Commerce,64,Comm&Mgmt,No,68,Mkt&HR,62,Not Placed,
20,M,19,U,4,3,health,other,no,yes,yes,yes,60,Central,67,Central,Arts,70,Comm&Mgmt,Yes,50.48,Mkt&Fin,82,Placed,400000
21,M,19,U,4,3,teacher,other,no,no,no,yes,62,Central,65,State,Commerce,66,Comm&Mgmt,No,50,Mkt&HR,58,Placed,250000
22,F,20,U,4,4,health,health,yes,yes,no,yes,79,Private,76,Central,Commerce,85,Comm&Mgmt,No,95,Mkt&Fin,52,Placed,300000
23,F,21,U,4,2,teacher,other,no,no,yes,yes,69.8,Central,60.8,Central,Science,72.23,Sci&Tech,No,55.53,Mkt&HR,83,Placed,350000
24,F,21,U,2,2,other,other,yes,no,yes,yes,77.4,State,60,Private,Science,64.74,Sci&Tech,Yes,92,Mkt&Fin,53,Placed,300000
25,M,18,R,2,4,services,health,yes,yes,yes,yes,76.5,Private,97.7,Private,Science,78.86,Sci&Tech,No,97.4,Mkt&Fin,70,Placed,200000
26,F,18,U,2,2,services,services,yes,yes,no,yes,52.58,State,54.6,Private,Commerce,50.2,Comm&Mgmt,Yes,76,Mkt&Fin,55,Not Placed,
27,M,20,U,2,2,other,other,yes,yes,no,yes,71,State,79,Private,Commerce,66,Comm&Mgmt,Yes,94,Mkt&Fin,83,Placed,350000
28,M,18,U,4,2,health,services,no,yes,no,yes,63,State,67,Private,Commerce,66,Comm&Mgmt,No,68,Mkt&HR,84,Placed,200000
29,M,19,U,3,4,services,other,yes,no,yes,yes,76.76,Central,76.5,Central,Commerce,67.5,Comm&Mgmt,Yes,73.35,Mkt&Fin,52,Placed,300000
30,M,21,U,4,4,teacher,teacher,yes,yes,yes,yes,62,Private,67,Central,Commerce,58,Comm&Mgmt,No,77,Mkt&Fin,60,Not Placed,
31,F,20,U,4,4,health,services,yes,yes,no,yes,64,State,73.5,Private,Commerce,73,Comm&Mgmt,No,52,Mkt&HR,84,Placed,455000
32,F,20,U,4,4,services,services,yes,no,yes,yes,67,State,53,Private,Science,65,Sci&Tech,No,64,Mkt&HR,56,Not Placed,
33,F,23,R,4,3,teacher,at_home,yes,no,yes,yes,61,Private,81,Central,Commerce,66.4,Comm&Mgmt,No,50.89,Mkt&HR,82,Placed,250000
34,F,18,U,3,3,other,other,no,no,yes,yes,87,Central,65,Central,Science,81,Comm&Mgmt,Yes,88,Mkt&Fin,67,Placed,400000
35,M,18,U,3,2,other,other,yes,yes,no,yes,62,Central,51,State,Science,52,Others,No,68.44,Mkt&HR,55,Not Placed,
36,F,20,U,2,3,other,other,yes,no,yes,no,69,Central,78,Private,Commerce,72,Comm&Mgmt,No,71,Mkt&HR,50,Placed,300000
37,M,21,U,4,3,teacher,services,yes,no,yes,yes,51,State,44,State,Commerce,57,Comm&Mgmt,No,64,Mkt&Fin,61,Not Placed,
38,F,21,R,4,4,other,teacher,yes,no,yes,yes,79,State,76,State,Science,65.6,Sci&Tech,No,58,Mkt&HR,76,Placed,350000
39,F,19,R,3,4,services,health,yes,yes,yes,yes,73,Private,58,Central,Science,66,Comm&Mgmt,No,53.7,Mkt&HR,76,Placed,350000
40,M,20,R,2,2,at_home,other,yes,yes,yes,no,81,Central,68,Private,Science,64,Sci&Tech,No,93,Mkt&Fin,95,Placed,250000
41,F,20,U,2,2,other,other,yes,no,yes,yes,78,Central,77,State,Commerce,80,Comm&Mgmt,No,60,Mkt&Fin,71,Placed,250000
42,F,21,U,4,4,teacher,other,yes,no,no,yes,74,State,63.16,Central,Commerce,65,Comm&Mgmt,Yes,65,Mkt&HR,64,Not Placed,
43,M,21,U,4,4,services,teacher,yes,no,yes,yes,49,Private,39,Private,Science,65,Others,No,63,Mkt&Fin,51,Not Placed,
44,M,20,U,2,2,services,services,yes,no,no,yes,87,State,87,Private,Commerce,68,Comm&Mgmt,No,95,Mkt&HR,64,Placed,250000
45,F,20,U,2,2,other,at_home,no,no,yes,yes,77,Private,73,Private,Commerce,81,Comm&Mgmt,Yes,89,Mkt&Fin,80,Placed,200000
46,F,22,U,4,3,other,other,yes,yes,yes,yes,76,State,64,State,Science,72,Sci&Tech,No,58,Mkt&HR,91,Not Placed,
47,F,23,U,3,3,other,services,yes,no,no,yes,70.89,Private,71.98,State,Science,65.6,Comm&Mgmt,No,68,Mkt&HR,78,Not Placed,
48,M,18,U,4,3,health,services,no,no,yes,yes,63,Central,60,State,Commerce,57,Comm&Mgmt,Yes,78,Mkt&Fin,65,Placed,200000
49,M,18,U,4,2,teacher,other,yes,yes,no,no,63,Central,62,Private,Commerce,68,Comm&Mgmt,No,64,Mkt&Fin,73,Placed,455000
50,F,21,U,4,4,services,teacher,yes,no,yes,yes,50,State,37,Private,Arts,52,Others,No,65,Mkt&HR,59,Not Placed,
51,F,18,U,2,2,services,services,yes,yes,no,yes,75.2,State,73.2,Private,Science,68.4,Comm&Mgmt,No,65,Mkt&HR,95,Placed,300000
52,M,22,U,4,2,health,other,yes,yes,no,yes,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,No,67,Mkt&HR,85,Not Placed,
53,F,18,U,4,2,health,health,no,no,no,no,40.89,State,45.83,State,Commerce,53,Comm&Mgmt,No,71.2,Mkt&HR,92,Not Placed,
54,M,21,U,4,4,services,services,yes,yes,no,yes,80,Private,70,Central,Science,72,Sci&Tech,No,87,Mkt&HR,71,Placed,350000
55,F,23,U,3,3,other,other,no,yes,no,yes,74,Central,60,Private,Science,69,Comm&Mgmt,No,78,Mkt&HR,65,Placed,250000
56,M,19,U,2,1,other,other,no,yes,yes,yes,60.4,State,66.6,Private,Science,65,Comm&Mgmt,No,71,Mkt&HR,67,Placed,200000
57,M,23,U,4,3,services,services,yes,yes,yes,yes,63,Private,71.4,Central,Commerce,61.4,Comm&Mgmt,No,68,Mkt&Fin,55,Placed,200000
58,M,21,U,4,4,teacher,health,yes,no,yes,no,68,Central,76,Private,Commerce,74,Comm&Mgmt,No,80,Mkt&Fin,84,Placed,200000
59,M,21,U,1,2,other,at_home,yes,no,yes,yes,74,State,62,Central,Science,68,Comm&Mgmt,No,74,Mkt&Fin,92,Placed,400000
60,M,20,U,4,2,services,other,yes,no,no,yes,52.6,Central,65.58,State,Science,72.11,Sci&Tech,No,57.6,Mkt&Fin,95,Placed,200000
61,M,21,R,4,4,health,teacher,yes,no,yes,no,74,State,70,Central,Science,72,Comm&Mgmt,Yes,60,Mkt&Fin,68,Placed,355000
62,M,18,U,1,1,services,services,yes,no,yes,yes,84.2,Private,73.4,Private,Commerce,66.89,Comm&Mgmt,No,61.6,Mkt&Fin,57,Placed,300000
63,F,19,U,1,2,other,services,no,no,yes,yes,86.5,State,64.2,Central,Science,67.4,Sci&Tech,No,59,Mkt&Fin,61,Placed,250000
64,M,18,U,4,3,teacher,health,yes,yes,yes,yes,61,Central,70,Central,Commerce,64,Comm&Mgmt,No,68.5,Mkt&HR,94,Not Placed,
65,M,21,U,4,3,services,services,no,no,yes,yes,80,Central,73,State,Commerce,75,Comm&Mgmt,No,61,Mkt&Fin,92,Placed,350000
66,M,18,U,4,3,teacher,services,yes,no,yes,yes,54,Private,47,Private,Science,57,Comm&Mgmt,No,89.69,Mkt&HR,87,Not Placed,
67,M,23,U,4,4,other,services,yes,no,yes,yes,83,State,74,Private,Science,66,Comm&Mgmt,No,68.92,Mkt&HR,51,Placed,200000
68,M,19,U,3,1,services,other,yes,yes,no,yes,80.92,Private,78.5,Central,Commerce,67,Comm&Mgmt,No,68.71,Mkt&Fin,84,Placed,350000
69,F,23,R,2,2,health,services,yes,yes,no,yes,69.7,State,47,Private,Commerce,72.7,Sci&Tech,No,79,Mkt&HR,50,Not Placed,
70,M,19,R,3,1,other,other,yes,no,no,yes,73,Central,73,Central,Science,66,Sci&Tech,Yes,70,Mkt&Fin,53,Placed,350000
71,M,21,U,3,1,other,other,yes,yes,no,yes,82,State,61,State,Science,62,Sci&Tech,No,89,Mkt&Fin,87,Placed,300000
72,M,23,U,4,2,other,other,no,no,no,yes,75,State,70.29,State,Commerce,71,Comm&Mgmt,No,95,Mkt&Fin,77,Placed,300000
73,M,23,R,1,1,other,other,yes,no,no,yes,84.86,Private,67,State,Science,78,Comm&Mgmt,No,95.5,Mkt&Fin,92,Placed,350000
74,M,18,U,3,1,other,other,no,no,yes,no,64.6,Central,83.83,State,Commerce,71.72,Comm&Mgmt,No,86,Mkt&Fin,82,Placed,350000
75,M,22,U,3,3,other,services,yes,yes,yes,yes,56.6,State,64.8,Private,Commerce,70.2,Comm&Mgmt,No,84.27,Mkt&Fin,89,Placed,400000
76,F,21,U,4,3,teacher,other,yes,yes,yes,yes,59,State,62,Private,Commerce,77.5,Comm&Mgmt,No,74,Mkt&HR,77,Not Placed,
77,F,18,U,4,0,teacher,other,no,no,yes,yes,66.5,Private,70.4,Central,Arts,71.93,Comm&Mgmt,No,61,Mkt&Fin,61,Placed,400000
78,M,19,U,2,2,other,other,no,yes,no,yes,64,Private,80,Private,Science,65,Sci&Tech,Yes,69,Mkt&Fin,90,Placed,200000
79,M,20,U,2,1,other,other,yes,no,yes,yes,84,State,90.9,Central,Science,64.5,Sci&Tech,No,86.04,Mkt&Fin,82,Placed,255000
80,F,23,U,3,4,at_home,other,yes,no,no,yes,69,Central,62,State,Science,66,Sci&Tech,No,75,Mkt&HR,64,Not Placed,
81,F,19,U,2,3,other,services,yes,yes,yes,yes,69,Private,62,Private,Commerce,69,Comm&Mgmt,Yes,67,Mkt&HR,58,Placed,250000
82,M,20,U,2,3,other,other,no,yes,no,yes,81.7,Central,63,State,Science,67,Comm&Mgmt,Yes,86,Mkt&Fin,84,Placed,400000
83,M,19,U,3,2,services,other,yes,yes,no,yes,63,Private,67,Private,Commerce,74,Comm&Mgmt,No,82,Mkt&Fin,62,Not Placed,
84,M,20,U,2,2,services,services,no,yes,yes,yes,84,Central,79,Private,Science,68,Sci&Tech,Yes,84,Mkt&Fin,55,Placed,250000
85,M,20,U,1,1,other,other,yes,no,yes,yes,70,Private,63,Central,Science,70,Sci&Tech,Yes,55,Mkt&Fin,94,Placed,300000
86,F,19,U,4,4,services,services,no,yes,no,yes,83.84,Central,89.83,State,Commerce,77.2,Comm&Mgmt,Yes,78.74,Mkt&Fin,86,Placed,200000
87,M,23,U,2,2,at_home,other,yes,no,no,no,62,Central,63,State,Commerce,64,Comm&Mgmt,No,67,Mkt&Fin,70,Placed,350000
88,M,19,U,4,2,other,other,yes,no,yes,yes,59.6,State,51,Private,Science,60,Others,No,75,Mkt&HR,69,Not Placed,
89,F,23,U,2,2,services,other,no,yes,yes,yes,66,Private,62,Private,Commerce,73,Comm&Mgmt,No,58,Mkt&HR,58,Placed,250000
90,F,18,U,4,4,teacher,health,yes,no,no,no,84,Central,75,Central,Science,69,Sci&Tech,Yes,62,Mkt&HR,56,Placed,200000
91,F,20,U,3,3,other,other,yes,yes,no,yes,85,Private,90,Private,Commerce,82,Comm&Mgmt,No,92,Mkt&Fin,71,Placed,455000
92,M,19,U,4,3,services,other,no,yes,yes,yes,52,Central,57,Central,Commerce,50.8,Comm&Mgmt,No,67,Mkt&HR,77,Not Placed,
93,F,21,U,3,1,other,other,yes,no,no,no,60.23,Private,69,Private,Science,66,Comm&Mgmt,No,72,Mkt&Fin,84,Placed,300000
94,M,23,U,4,2,teacher,services,yes,yes,yes,yes,52,State,62,State,Commerce,54,Comm&Mgmt,No,72,Mkt&HR,56,Not Placed,
95,M,22,U,2,2,services,health,yes,no,yes,yes,58,Private,62,Private,Commerce,64,Comm&Mgmt,No,53.88,Mkt&Fin,82,Placed,400000
96,M,20,R,1,1,at_home,other,yes,yes,yes,yes,73,State,78,State,Commerce,65,Comm&Mgmt,Yes,95.46,Mkt&Fin,69,Placed,300000
97,F,21,R,4,3,services,other,yes,no,yes,yes,76,State,70,Central,Science,76,Comm&Mgmt,Yes,66,Mkt&Fin,69,Placed,450000
98,F,23,U,2,1,other,other,yes,yes,no,no,70.5,State,62.5,State,Commerce,61,Comm&Mgmt,No,93.91,Mkt&Fin,72,Not Placed,
99,F,21,U,4,4,other,other,no,no,yes,yes,69,State,73,Central,Commerce,65,Comm&Mgmt,No,70,Mkt&Fin,58,Placed,300000
100,M,18,U,4,3,other,at_home,yes,yes,no,yes,54,Private,82,Private,Commerce,63,Sci&Tech,No,50,Mkt&Fin,91,Not Placed,
101,F,21,U,4,4,services,services,yes,yes,yes,yes,45,Private,57,Private,Commerce,58,Comm&Mgmt,Yes,56.39,Mkt&HR,75,Not Placed,
102,M,21,U,4,4,services,teacher,yes,no,yes,yes,63,Private,72,Central,Commerce,68,Comm&Mgmt,No,78,Mkt&HR,70,Placed,200000
103,F,20,U,4,4,services,other,yes,no,yes,yes,77,State,61,Private,Commerce,68,Comm&Mgmt,Yes,57.5,Mkt&Fin,80,Placed,500000
104,M,19,U,3,2,services,other,yes,yes,no,yes,73,Private,78,State,Science,73,Sci&Tech,Yes,85,Mkt&HR,70,Placed,300000
105,M,21,U,3,4,services,other,yes,yes,yes,yes,69,Central,63,Private,Science,65,Comm&Mgmt,Yes,55,Mkt&HR,87,Placed,400000
106,M,23,U,3,3,other,health,no,no,no,no,59,Private,64,Central,Science,58,Sci&Tech,No,85,Mkt&HR,64,Not Placed,
107,M,22,U,2,2,other,other,yes,yes,no,yes,61.08,Central,50,Private,Science,54,Sci&Tech,No,71,Mkt&Fin,65,Not Placed,
108,M,18,U,3,3,services,other,yes,no,yes,yes,82,Private,90,State,Commerce,83,Comm&Mgmt,No,80,Mkt&HR,53,Placed,250000
109,M,19,R,4,4,other,other,yes,yes,yes,yes,61,State,82,Private,Commerce,69,Comm&Mgmt,No,84,Mkt&Fin,73,Placed,400000
110,M,19,U,4,4,health,health,yes,yes,yes,yes,52,State,63,Central,Science,65,Sci&Tech,Yes,86,Mkt&HR,85,Not Placed,
111,F,18,U,4,4,teacher,teacher,no,no,yes,yes,69.5,State,70,Private,Science,72,Sci&Tech,No,57.2,Mkt&HR,55,Placed,250000
112,M,18,R,3,3,services,other,yes,no,yes,yes,51,Central,54,Private,Science,61,Sci&Tech,No,60,Mkt&HR,92,Not Placed,
113,M,18,U,2,2,at_home,other,no,no,yes,yes,58,Private,61,Central,Commerce,61,Comm&Mgmt,No,58,Mkt&HR,52,Placed,250000
114,F,21,U,4,2,teacher,other,no,no,no,yes,73.96,Central,79,State,Commerce,67,Comm&Mgmt,No,72.15,Mkt&Fin,55,Placed,400000
115,M,21,R,2,1,health,services,no,no,yes,yes,65,Central,68,Central,Science,69,Comm&Mgmt,No,53.7,Mkt&HR,60,Placed,500000
116,F,21,U,4,4,teacher,teacher,yes,no,yes,yes,73,Private,63,State,Science,66,Comm&Mgmt,No,89,Mkt&Fin,55,Placed,300000
117,M,22,U,4,4,other,teacher,yes,no,yes,no,68.2,State,72.8,Private,Commerce,66.6,Comm&Mgmt,Yes,96,Mkt&Fin,54,Placed,200000
118,M,19,U,3,3,other,services,no,no,yes,yes,77,State,75,Private,Science,73,Sci&Tech,No,80,Mkt&Fin,93,Placed,400000
119,M,20,R,1,3,other,other,yes,no,yes,yes,76,Central,80,State,Science,78,Sci&Tech,Yes,97,Mkt&HR,78,Placed,200000
120,M,21,U,3,4,other,other,no,no,no,yes,60.8,Private,68.4,Private,Commerce,64.6,Comm&Mgmt,Yes,82.66,Mkt&Fin,92,Placed,400000
121,M,22,U,1,2,at_home,services,no,no,no,yes,58,Central,40,Central,Science,59,Comm&Mgmt,No,73,Mkt&HR,88,Not Placed,
122,F,21,U,2,2,services,services,yes,yes,yes,yes,64,Private,67,State,Science,69.6,Sci&Tech,Yes,55.67,Mkt&HR,95,Placed,200000
123,F,23,U,2,4,other,health,yes,yes,yes,yes,66.5,State,66.8,Private,Arts,69.3,Comm&Mgmt,Yes,80.4,Mkt&Fin,74,Placed,400000
124,M,21,U,4,4,health,other,yes,no,yes,yes,74,Central,59,Central,Commerce,73,Comm&Mgmt,Yes,60,Mkt&HR,67,Placed,250000
125,M,18,U,2,2,other,other,no,yes,no,yes,67,Private,71,Private,Science,64.33,Others,Yes,64,Mkt&HR,62,Placed,400000
126,F,18,U,3,4,services,services,no,no,no,yes,84,State,73,State,Commerce,73,Comm&Mgmt,No,75,Mkt&Fin,77,Placed,250000
127,F,23,U,3,4,other,other,no,no,yes,yes,79,Private,61,Central,Science,75.5,Sci&Tech,Yes,70,Mkt&Fin,92,Placed,250000
128,F,19,U,0,1,at_home,other,yes,no,no,no,72,State,60,Private,Science,69,Comm&Mgmt,No,55.5,Mkt&HR,61,Placed,400000
129,M,20,R,2,2,services,other,yes,no,yes,yes,80.4,Private,73.4,Central,Science,77.72,Sci&Tech,Yes,81.2,Mkt&HR,95,Placed,350000
130,M,18,R,4,4,teacher,teacher,no,yes,yes,yes,76.7,Private,89.7,Central,Commerce,66,Comm&Mgmt,Yes,90,Mkt&Fin,59,Placed,300000
131,M,18,R,3,4,services,teacher,yes,no,no,yes,62,Private,65,State,Commerce,60,Comm&Mgmt,No,84,Mkt&Fin,67,Not Placed,
132,F,19,U,1,1,at_home,other,yes,no,yes,yes,74.9,Private,57,Private,Science,62,Others,Yes,80,Mkt&Fin,70,Placed,250000
133,M,23,U,2,2,other,other,yes,no,no,yes,67,Central,68,State,Commerce,64,Comm&Mgmt,Yes,74.4,Mkt&HR,58,Placed,400000
134,M,18,U,3,4,services,other,no,no,no,yes,73,Private,64,Central,Commerce,77,Comm&Mgmt,Yes,65,Mkt&HR,85,Placed,300000
135,F,22,R,3,4,at_home,teacher,yes,no,no,no,77.44,Private,92,State,Commerce,72,Comm&Mgmt,Yes,94,Mkt&Fin,79,Placed,350000
136,F,22,U,4,4,services,at_home,yes,no,yes,yes,72,Central,56,Private,Science,69,Comm&Mgmt,No,55.6,Mkt&HR,89,Placed,400000
137,F,22,R,3,4,at_home,other,no,no,no,no,47,State,59,Private,Arts,64,Comm&Mgmt,No,78,Mkt&Fin,71,Not Placed,
138,M,18,U,3,3,other,other,yes,no,yes,yes,67,Private,63,State,Commerce,72,Comm&Mgmt,No,56,Mkt&HR,95,Placed,350000
139,F,19,U,1,1,services,other,no,no,no,no,82,State,64,Central,Science,73,Sci&Tech,Yes,96,Mkt&Fin,56,Placed,355000
140,M,21,U,4,4,teacher,teacher,no,no,yes,yes,77,Private,70,Central,Commerce,59,Comm&Mgmt,Yes,58,Mkt&Fin,78,Placed,200000
141,M,19,U,4,3,teacher,services,yes,no,no,yes,65,Private,64.8,Private,Commerce,69.5,Comm&Mgmt,Yes,56,Mkt&Fin,73,Placed,300000
142,M,18,U,2,2,services,services,yes,no,yes,yes,66,Central,64,Private,Science,60,Comm&Mgmt,No,60,Mkt&HR,65,Not Placed,
143,M,22,U,4,4,teacher,services,yes,yes,yes,yes,85,Central,60,State,Science,73.43,Sci&Tech,Yes,60,Mkt&Fin,65,Placed,350000
144,M,18,U,1,1,at_home,at_home,no,no,no,yes,77.67,Private,64.89,Central,Commerce,70.67,Comm&Mgmt,No,89,Mkt&Fin,76,Placed,400000
145,M,18,U,2,1,other,other,yes,no,no,yes,52,State,50,State,Arts,61,Comm&Mgmt,No,60,Mkt&Fin,87,Not Placed,
146,M,21,U,1,1,other,services,yes,yes,no,yes,89.4,Central,65.66,Private,Science,71.25,Sci&Tech,No,72,Mkt&HR,88,Placed,250000
147,M,23,U,3,2,health,services,yes,no,no,yes,62,Private,63,State,Science,66,Comm&Mgmt,No,85,Mkt&HR,56,Placed,350000
148,M,19,U,1,2,at_home,other,yes,yes,no,yes,70,Private,74,Central,Commerce,65,Comm&Mgmt,No,83,Mkt&Fin,51,Placed,250000
149,F,18,U,4,4,teacher,teacher,yes,no,no,yes,77,State,86,State,Arts,56,Others,No,57,Mkt&Fin,71,Placed,300000
150,M,19,U,2,1,services,other,no,no,no,yes,44,Private,58,Private,Arts,55,Comm&Mgmt,Yes,64.25,Mkt&HR,66,Not Placed,
151,M,21,U,1,1,other,other,no,no,no,yes,71,Central,58.66,Central,Science,58,Sci&Tech,Yes,56,Mkt&Fin,61,Placed,500000
152,M,20,U,2,1,at_home,other,no,no,yes,no,65,Central,65,Central,Commerce,75,Comm&Mgmt,No,83,Mkt&Fin,50,Placed,400000
153,F,20,R,3,3,services,services,yes,yes,yes,yes,75.4,State,60.5,Private,Science,84,Sci&Tech,No,98,Mkt&Fin,55,Placed,350000
154,M,22,U,3,2,services,at_home,yes,no,no,yes,49,Central,59,State,Science,65,Sci&Tech,Yes,86,Mkt&Fin,88,Placed,300000
155,M,21,U,4,4,other,teacher,yes,no,no,no,53,Central,63,State,Science,60,Comm&Mgmt,Yes,70,Mkt&Fin,88,Placed,300000
156,M,20,R,2,3,at_home,services,no,yes,yes,no,51.57,State,74.66,State,Commerce,59.9,Comm&Mgmt,Yes,56.15,Mkt&HR,50,Not Placed,
157,M,22,R,1,2,other,other,no,no,no,no,84.2,Private,69.4,Private,Science,65,Sci&Tech,Yes,80,Mkt&HR,53,Placed,300000
158,M,21,R,1,1,at_home,other,yes,no,yes,no,66.5,Central,62.5,Central,Commerce,60.9,Comm&Mgmt,No,93.4,Mkt&Fin,86,Placed,200000
159,M,20,R,2,2,at_home,other,no,no,no,no,67,Central,63,Private,Science,64,Sci&Tech,No,60,Mkt&Fin,93,Not Placed,
160,M,22,U,3,3,other,services,yes,yes,no,yes,52,Central,49,Private,Commerce,58,Comm&Mgmt,No,62,Mkt&HR,77,Not Placed,
161,M,20,R,2,1,at_home,other,no,no,yes,yes,87,State,74,State,Science,65,Sci&Tech,Yes,75,Mkt&HR,65,Placed,400000
162,M,20,R,3,2,other,other,yes,no,no,yes,55.6,Private,51,State,Commerce,57.5,Comm&Mgmt,No,57.63,Mkt&HR,89,Not Placed,
163,M,18,U,1,2,other,other,no,no,yes,no,74.2,Private,87.6,Central,Commerce,77.25,Comm&Mgmt,Yes,75.2,Mkt&Fin,50,Placed,455000
164,M,19,U,1,3,at_home,services,no,no,no,yes,63,State,67,Central,Science,64,Sci&Tech,No,75,Mkt&Fin,62,Placed,200000
165,F,19,R,1,1,other,services,no,no,yes,no,67.16,State,72.5,State,Commerce,63.35,Comm&Mgmt,No,53.04,Mkt&Fin,83,Placed,300000
166,F,20,U,3,2,services,services,yes,no,yes,no,63.3,Central,78.33,Central,Commerce,74,Comm&Mgmt,No,80,Mkt&Fin,71,Not Placed,
167,M,22,U,2,2,other,other,no,no,no,yes,62,State,62,Central,Commerce,60,Comm&Mgmt,Yes,63,Mkt&HR,85,Placed,350000
168,M,19,U,4,2,health,services,no,yes,no,yes,67.9,Private,62,Central,Science,67,Sci&Tech,Yes,58.1,Mkt&Fin,62,Not Placed,
169,F,19,U,2,2,other,other,yes,yes,no,yes,48,State,51,Central,Commerce,58,Comm&Mgmt,Yes,60,Mkt&HR,56,Not Placed,
170,M,23,U,4,4,health,health,yes,yes,no,yes,59.96,Central,42.16,Private,Science,61.26,Sci&Tech,No,54.48,Mkt&HR,84,Not Placed,
171,F,23,U,3,4,other,other,yes,no,yes,yes,63.4,State,67.2,Private,Commerce,60,Comm&Mgmt,No,58.06,Mkt&HR,70,Not Placed,
172,M,20,U,1,0,other,other,yes,yes,yes,yes,80,Private,80,State,Commerce,72,Comm&Mgmt,Yes,63.79,Mkt&Fin,86,Placed,400000
173,M,20,U,4,4,teacher,other,yes,yes,yes,yes,73,Private,58,Central,Commerce,56,Comm&Mgmt,No,84,Mkt&HR,80,Placed,250000
174,F,23,U,1,3,at_home,services,no,no,yes,yes,52,State,52,Central,Science,55,Sci&Tech,No,67,Mkt&HR,87,Not Placed,
175,M,22,U,3,3,other,other,yes,yes,yes,yes,73.24,Private,50.83,State,Science,64.27,Sci&Tech,Yes,64,Mkt&Fin,64,Placed,450000
176,M,20,U,4,3,teacher,other,no,yes,yes,yes,63,Private,62,Central,Science,65,Sci&Tech,No,87.5,Mkt&HR,67,Not Placed,
177,F,19,U,2,2,services,other,no,yes,yes,yes,59,Central,60,Private,Commerce,56,Comm&Mgmt,No,55,Mkt&HR,50,Placed,350000
178,F,19,U,3,3,other,other,no,no,yes,yes,73,Central,97,State,Commerce,79,Comm&Mgmt,Yes,89,Mkt&Fin,84,Placed,250000
179,M,19,R,4,2,teacher,services,yes,no,yes,yes,68,Central,56,State,Science,68,Sci&Tech,No,73,Mkt&HR,73,Placed,350000
180,F,19,U,4,3,other,other,yes,no,yes,yes,77.8,State,64,State,Science,64.2,Sci&Tech,No,75.5,Mkt&HR,50,Not Placed,
